id,n,sr_adj,sr_raw,ci_lo,ci_hi
11,137,0.5095649424752707,0.5328467153284672,0.4229241095613134,0.5929819310936332
12,162,0.44661026517870656,0.4444444444444444,0.37013552984037806,0.5232716281938199
13,122,0.43262966952999393,0.4344262295081967,0.3405187657830308,0.5162113840752387
14,126,0.521858440267069,0.5158730158730159,0.4343154490821621,0.6037525381434549
15,166,0.43268409772313315,0.43373493975903615,0.3641552390429545,0.5042601917469415
16,120,0.47102374285365106,0.4666666666666667,0.38058062398863785,0.5577499640479785
17,162,0.4769795168523166,0.4567901234567901,0.406163659429649,0.5522514083399488
18,91,0.5681049357911085,0.6263736263736264,0.46123495437119594,0.6712628132792428
19,121,0.382502491191157,0.38016528925619836,0.29995861175875366,0.4682460337060736
20,164,0.5463538959744709,0.573170731707317,0.46955802761426724,0.6201856932364068
21,123,0.5084146935025421,0.5203252032520326,0.42343583356706405,0.5960412025225906
22,125,0.4354792044574228,0.424,0.34435571159533546,0.5214066805167915
23,137,0.48033218575860265,0.45985401459854014,0.40245721572035265,0.5621946130229429
24,146,0.428301025976066,0.4315068493150685,0.3516003396558459,0.5103225225922576
25,149,0.3578024990265594,0.3691275167785235,0.2829305186271601,0.4369185081697436
26,165,0.4407149067786181,0.4303030303030303,0.36815957868936533,0.5135926103527121
27,125,0.42244993905630834,0.44,0.3373725681082969,0.5134794490064677
28,132,0.34355222438521876,0.3712121212121212,0.26674960211892307,0.42085451255638173
29,139,0.4033683325842298,0.38848920863309355,0.33031765719247297,0.48363091695407445
30,138,0.4818132022563813,0.4782608695652174,0.39918810149508993,0.5586887496071368
31,145,0.4958890277400558,0.503448275862069,0.41659828941965177,0.57499500815443
32,194,0.49339953299302425,0.4536082474226804,0.4281667121463268,0.5625315453087332
33,132,0.5243967945073891,0.5227272727272727,0.4421531643505327,0.6059280258859202
34,72,0.45733321906555074,0.4861111111111111,0.3429387930815474,0.5734333340543059
35,107,0.42823058199818426,0.4485981308411215,0.33730684794351895,0.522634059344608
36,151,0.4669043612545048,0.4370860927152318,0.3875218546932804,0.5411731616323109
37,129,0.4218573225806206,0.4108527131782946,0.333417639809834,0.5094207692858191
38,171,0.40467889101810484,0.38596491228070173,0.3351390845057652,0.4784049792013545
39,113,0.4781352262086498,0.504424778761062,0.3918713043891398,0.5655209498037254
40,211,0.5234610694897744,0.5165876777251185,0.45463654039655355,0.5889353552674671
41,152,0.4190151010018853,0.3881578947368421,0.34055257659874355,0.5012977638935129
42,106,0.5572157873663691,0.5849056603773585,0.45738338223617786,0.6459435542727505
43,171,0.4228122474299967,0.4152046783625731,0.34874792622152495,0.49544524830936376
44,165,0.3583168009721337,0.3515151515151515,0.29110962156794423,0.43175583465485834
45,158,0.4369452856508149,0.46835443037974683,0.36495492168671906,0.5135474321363782
46,112,0.4491503895609742,0.48214285714285715,0.3560566011997977,0.5459737619148549
47,136,0.5091150124895611,0.49264705882352944,0.4296130694702679,0.5948703115934023
48,132,0.48962872902096777,0.4621212121212121,0.4070685023920123,0.5684856150122348
49,125,0.5289937222169315,0.552,0.4481594321236075,0.6119105394049098
50,99,0.46355709254053606,0.4444444444444444,0.3718311889643256,0.5592495794560105
51,162,0.4656704172872308,0.4567901234567901,0.3917246097290813,0.5404079212217735
52,185,0.4947709133379143,0.4756756756756757,0.43031235988271477,0.5593713324494941
53,131,0.5547665914205928,0.5648854961832062,0.4756300553649463,0.6362314127571
54,134,0.4146447463473813,0.40298507462686567,0.33743916879882024,0.4969416222998193
55,154,0.5023059855757822,0.487012987012987,0.42652974576420455,0.5751074282060199
56,231,0.4677630742791772,0.46320346320346323,0.3998216490209274,0.533454202791628
57,151,0.5084057006497058,0.5298013245033113,0.4259646994361384,0.5869894706212252
58,167,0.5238018924598069,0.5329341317365269,0.45205361992107984,0.5946162293945143
59,123,0.48252658947997906,0.4878048780487805,0.3977011417731418,0.5674706797089747
60,143,0.4562072103394146,0.48951048951048953,0.3801184335541928,0.5351724743539277
