id,n,sr_adj,sr_raw,ci_lo,ci_hi
11,153,0.4087368237406317,0.41830065359477125,0.33306413715317496,0.48194468328249684
12,157,0.34173951182428464,0.33121019108280253,0.2702497859700841,0.41034602612862725
13,153,0.40664014235142476,0.39869281045751637,0.3355320979492139,0.48197309133633653
14,172,0.4967448454410275,0.46511627906976744,0.4258511125989034,0.5655542684612583
15,139,0.37107320329816634,0.3669064748201439,0.2961111784234532,0.4481450912395501
16,181,0.593968339424847,0.6187845303867403,0.5256102796221755,0.6568047274116617
17,165,0.5511222342320045,0.5333333333333333,0.4751296541733812,0.6235036714816422
18,123,0.49028387735635354,0.4959349593495935,0.4045839971348467,0.5734714306553468
19,148,0.5016664052511689,0.5067567567567568,0.41990557861114186,0.5884018177292638
20,164,0.532156270026711,0.5548780487804879,0.45446501055986455,0.6051990451220893
21,114,0.3352801625438124,0.3157894736842105,0.25867562177172204,0.41356168961356965
22,104,0.33310172609494937,0.3557692307692308,0.24305009945856212,0.41625839464382086
23,118,0.4694773738686345,0.4661016949152542,0.3834581290305807,0.5531683129803278
24,177,0.3835284975050539,0.3954802259887006,0.3156907825625336,0.45587305507875886
25,69,0.2744787355344719,0.2898550724637681,0.1711466251011371,0.3835447598344019
26,178,0.6113174431562296,0.6123595505617978,0.5432952421593885,0.6812929188575999
27,101,0.6633269098498014,0.6633663366336634,0.5719278645654042,0.750899415983908
28,190,0.45798310706571427,0.4842105263157895,0.3860880569916334,0.5289240566249762
29,195,0.40309698970503893,0.4205128205128205,0.3346424933021031,0.472208108064085
30,156,0.6416338210335556,0.6602564102564102,0.5709610202707049,0.7092142992488878
31,169,0.5837419582829194,0.5443786982248521,0.51334277660477,0.6546514090925687
32,118,0.40283624497489257,0.4067796610169492,0.3193589827593615,0.482624572992473
33,155,0.5485307425812752,0.5290322580645161,0.4697737958781343,0.6295866285567939
34,128,0.51997836361946,0.5,0.4334288095056558,0.5990836776971177
35,74,0.4492316873860007,0.47297297297297297,0.3418834728577419,0.5576417977368471
36,130,0.5960976166807125,0.5769230769230769,0.5130902853692363,0.6862062330016431
37,175,0.45392006669685764,0.4514285714285714,0.38216574040300993,0.5240049533346108
38,141,0.5088951783083574,0.5106382978723404,0.4267565196156137,0.5916781000529951
39,100,0.4491187413325289,0.49,0.356084816281162,0.5432098248931005
40,144,0.5570028057279109,0.5486111111111112,0.48282623754017284,0.6289884143042329
41,153,0.36108851524211594,0.3464052287581699,0.2872299293113562,0.4347418709095762
42,66,0.2873802630188027,0.30303030303030304,0.18016466799996542,0.3939279010143938
43,99,0.3110675460724862,0.30303030303030304,0.22693183476721995,0.39628900030995245
44,74,0.4077515418448317,0.40540540540540543,0.3026817843993105,0.5181324625043824
45,155,0.5439769548044131,0.5419354838709678,0.466704409124279,0.6189051733186945
46,127,0.43591521212434453,0.4409448818897638,0.35406532636142224,0.5183101675266808
47,151,0.5402076044965262,0.5364238410596026,0.4650324520630414,0.6162354829056096
48,174,0.4423418004334413,0.43103448275862066,0.37299500360185667,0.5174518737065548
49,107,0.27211450656472036,0.2616822429906542,0.18934843740935736,0.3521989203628442
50,167,0.4705693440703666,0.4550898203592814,0.3972232280127189,0.5460517924937909
51,169,0.39110009753486885,0.40236686390532544,0.3220892596829633,0.4633084193937349
52,137,0.42712915513737143,0.41605839416058393,0.3485944328698067,0.5105736547542506
53,168,0.48177289979205457,0.4880952380952381,0.4113687068959623,0.5557625733724637
54,147,0.46520452136993884,0.48299319727891155,0.3820579616807329,0.5473445735717793
55,93,0.5500230492751174,0.5483870967741935,0.4567621850481371,0.6474850926386481
56,216,0.42878260832209236,0.4027777777777778,0.3636838861693097,0.4947078043372308
57,145,0.4835397435578633,0.5241379310344828,0.4091330261460931,0.5667280380532508
58,165,0.4230406907270936,0.4121212121212121,0.3497379705772261,0.4968157411219749
59,131,0.48124439133845925,0.4961832061068702,0.396906952608087,0.5647360115707784
60,177,0.39614366187185285,0.3954802259887006,0.3247359387713788,0.4704996618376423
