split,shape_nl,height_lin,cat_m0,cat_m10,cat_m30,shape+cat
0,0.6373746482524147,0.6085402527151035,0.651296619306628,0.6522703510562767,0.653439284171269,0.6616709069281469
1,0.6463629023758793,0.6216457423040262,0.6564108082384696,0.6567840490850579,0.6583680900753255,0.6669243840526842
2,0.636656256001618,0.6158219854516633,0.6535371273011519,0.6527480731236749,0.6513643820847599,0.6608459762206207
3,0.6486724375598754,0.6163162059642066,0.6599173901386336,0.658217894440509,0.6584142013903906,0.6703737357864921
4,0.6463851830972338,0.6199033389513304,0.6768123652565704,0.6747283324509995,0.674653213433427,0.6795073821371904
5,0.6490770608895071,0.6143079925212843,0.6785246522577089,0.6777731372420589,0.6777339862464552,0.6840447495565366
6,0.6348426681861492,0.6118788674836879,0.6518627964640004,0.6530800675925785,0.6536317566589978,0.6616457705424091
7,0.6426274785995951,0.6189923672940577,0.6559789086309679,0.6560195036102251,0.6542104863169113,0.663369729591544
8,0.6446005965816752,0.6131392428248823,0.6391429638393304,0.6406741826575953,0.6449888456597247,0.6542607991472433
9,0.6502393326921625,0.6146037262267564,0.6743893976069812,0.6750039260993734,0.6745273003352746,0.6797577123818738
10,0.6541698966145508,0.6137090259151419,0.6672714881657318,0.6676288568704494,0.6681696565353655,0.677363792048714
11,0.6313807262780421,0.6143788184270048,0.654284066152582,0.6532024233571644,0.6480173006873511,0.6614157209852956
12,0.6496419716402017,0.6218738032874003,0.6663699451564339,0.6690234198752555,0.6703129187011668,0.6809746660184133
13,0.6488001534525495,0.621070554943472,0.6571816050738801,0.6580425119706443,0.6629407705024439,0.6680587691402451
14,0.6431341681117058,0.6145878463578837,0.6526242255239073,0.6504514246164835,0.6513458082693736,0.6587423569457357
15,0.6750675626206128,0.6352690272664633,0.6981367716501024,0.6993669210912381,0.6995993254941105,0.7056843088781134
16,0.6303731407332593,0.6082800869371663,0.6564272806700973,0.6557159273349394,0.6526563167192839,0.6630090068312239
17,0.6596762808471477,0.6239601503121565,0.686092822087593,0.6888238479576854,0.6884517392762548,0.6955988399250943
18,0.6430430458670217,0.6185331059886168,0.6458713884683781,0.6457910269122074,0.6519994359773786,0.662906567631832
19,0.6372441988012781,0.6184309109267722,0.6519723420327417,0.6528437475994108,0.6528486749269189,0.6646637904742047
20,0.6604652348528723,0.6283095999123419,0.6687042712574837,0.6687352204982084,0.672527434080174,0.6798777128824981
21,0.6463615852648,0.6227101086775074,0.6593293070142131,0.6624282766217747,0.6607486051307069,0.6688884044746795
22,0.6413442725593241,0.6087632644730854,0.6672246021911046,0.6665937792910248,0.6654012197692453,0.6718673320559883
23,0.6402934174920785,0.6077227666237639,0.6657216180039959,0.6649719148436048,0.661158234213201,0.6669015370721272
24,0.6298785076085707,0.5976952307014525,0.6565355681992142,0.654037659899768,0.6474552205225723,0.6593325343329366
25,0.6506593932069735,0.6178122381169984,0.6609521565179912,0.6612988160189327,0.6627475198063619,0.6710053502916806
26,0.6388437087065069,0.6171447728660121,0.6596920335705102,0.6602816433606538,0.6627772135996975,0.6670894193961125
27,0.6297109855673183,0.6027513942894819,0.6292020050971362,0.629081781859083,0.6249700460400783,0.6453201568333524
28,0.6518794173284633,0.6241006052975792,0.6713664875232722,0.6714221338137601,0.6750985938459159,0.6827969841045117
29,0.6414556484591477,0.6123966928995399,0.6601253758601462,0.6606792980084175,0.6583877674837824,0.6674765287109254
30,0.6396228970224185,0.619093422870153,0.6753813817637412,0.67517848274063,0.6737058951088939,0.6758177256215195
31,0.6500232417883068,0.6138442224981141,0.6636203375029492,0.6646464844554754,0.6622715387104238,0.6725823844823973
32,0.6561408704449354,0.623637387458316,0.6685668872400344,0.6691400895310148,0.6690308836953275,0.6812993731100402
33,0.6356112727882769,0.6214700599974226,0.6571280769698281,0.6578128613271196,0.6573758319779669,0.6648136474484833
34,0.6396260722417878,0.6049053914082493,0.6664963098323006,0.6663344418369558,0.6626593633568946,0.6707090398607999
35,0.6489927756044942,0.6148609898213269,0.641047159879516,0.6420459719570062,0.6421818419236227,0.6586888738652552
36,0.639636787757723,0.6110520319567156,0.6565239019512821,0.6569828487597614,0.6542386560721626,0.6675658059859431
37,0.6576896952850806,0.6258654553270627,0.6558147808140184,0.6578432643067231,0.6594985827163274,0.6675906461930323
38,0.6443827390223279,0.621606360787221,0.6502133175227204,0.6508738207527304,0.6473102922303545,0.6617676717383721
39,0.6200923765022666,0.6076487786722813,0.6410221944384074,0.6392460368128826,0.6325543436089439,0.6483098443359673
40,0.634945023402924,0.5977444914836948,0.6539278704918696,0.6548194105139096,0.6547461644839974,0.6595367452014192
41,0.6507074648785293,0.6125999251411279,0.688060096132551,0.6881727312137887,0.6881894680758979,0.692222867878823
42,0.6581158488110196,0.6201921993196059,0.6523698569032272,0.654376646488137,0.6532845074642776,0.672492850858313
43,0.6549819825103107,0.6184902820038941,0.6570258920968338,0.6583246505270187,0.6588991742577054,0.66782996163743
44,0.6283083606272966,0.6090666237388872,0.6471330958259858,0.646842549152165,0.6427661430196586,0.6550081551229429
45,0.6445375983087898,0.6161206519062951,0.6580358426317713,0.6582996239949355,0.6567848304204792,0.6656132722239266
46,0.6305005223649448,0.6081586192323816,0.6358181183854686,0.6365029371362962,0.6360328684381559,0.6477069185928094
47,0.6405505179281545,0.6117333302995984,0.6487883554165668,0.6480681166689618,0.6476721079759132,0.6572497148165861
48,0.6414846671801744,0.6157935857935103,0.6511036011035208,0.6487057201249774,0.6461108661412466,0.6612690733975003
49,0.6397764248578444,0.6096837300590671,0.6639719971072288,0.6619024725948759,0.6585201481747192,0.6715043933796602
50,0.6442528696516852,0.6067479874018733,0.6643442060801054,0.6648045991229401,0.6655591295995517,0.6699954632421308
51,0.6543163416486059,0.6196107529045423,0.6883761565857257,0.6875500971069131,0.6863552787159511,0.6891630096212747
52,0.6489950422148593,0.6179404552013684,0.6557288170201254,0.6554415076241019,0.6575546160458581,0.6658167821922207
53,0.6515486946893405,0.6198334440791577,0.6640897356799216,0.6662459369929619,0.6686866161316576,0.676352606046603
54,0.6279222848840683,0.6111557316683793,0.6547177681139505,0.6529388245349415,0.6485613219557781,0.6601118381274914
55,0.6570813655805015,0.618766472579907,0.6807993404511248,0.6810709582390345,0.6820076654200568,0.6867286566550397
56,0.6493722975553358,0.6229149806997475,0.6770851927059274,0.6775391044429576,0.6781490556322705,0.6832420260821317
57,0.638067781211622,0.6125779457557483,0.6467986017406756,0.6460269598568484,0.6452461890443432,0.6549616370910104
58,0.6345878135091403,0.610134569882686,0.6408962567345011,0.6445579152812018,0.6411448497241056,0.6542744417862517
59,0.6588776459971184,0.6188238070228307,0.6866554280065004,0.6874052896451969,0.6871801790733197,0.6945346269347258
60,0.642362292730217,0.6159238424411178,0.6623230027447738,0.6625451055537843,0.662667273307567,0.6669173908809564
61,0.6434982588222121,0.6140546520490836,0.650787211445768,0.6540686463930927,0.6587407968419872,0.6662121403501036
62,0.6284106983058345,0.6103686918470986,0.6558516025523653,0.6537958007425511,0.6515221773524452,0.6596969517026307
63,0.6392724607638399,0.6177597365480219,0.6458004284201289,0.649085428992904,0.6568365254416612,0.6659923281729568
64,0.6433437302309926,0.6205542159273947,0.6611615142400205,0.6626688586293504,0.6620698171445246,0.6686213334753192
65,0.6290822472041648,0.6020788858198353,0.6263576756544104,0.6309111949108734,0.6338439636958157,0.6438771358808101
66,0.6568211559286139,0.6329231521074623,0.669778055078266,0.675598126521401,0.6757886466827947,0.6856716263367645
67,0.6448480090018782,0.6110717415735386,0.6647458968268898,0.6641960381411747,0.6619253606714736,0.6720598717494904
68,0.6277399257428469,0.6120280016159836,0.6467263765388352,0.6471074106693677,0.6423548795141418,0.6558518481220603
69,0.6313178773599469,0.6131923262717047,0.6433861887544234,0.6433556925554559,0.640557947473234,0.6485710640214265
